日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2015/7/27",自營商,574143,60266,609609,63595,-35466,-3329,273702,22049,491680,33520,-217978,-11471
"2015/7/27",投信,550,554,887,1042,-337,-488,7973,7368,6876,8664,1097,-1296
"2015/7/27",外資及陸資,177507,98283,181345,91883,-3838,6400,244081,44881,285918,61778,-41837,-16898
"2015/7/28",自營商,456046,46638,463345,47662,-7299,-1024,297594,23159,523163,35607,-225569,-12449
"2015/7/28",投信,1288,1487,561,656,727,831,8188,7455,6325,7916,1863,-461
"2015/7/28",外資及陸資,159560,87404,168569,92079,-9009,-4675,250388,43557,301824,65606,-51436,-22049
"2015/7/29",自營商,614486,62200,615979,59774,-1493,2426,240459,23508,427234,33434,-186775,-9927
"2015/7/29",投信,809,787,484,559,325,228,8444,7663,6322,7875,2122,-212
"2015/7/29",外資及陸資,170018,97129,172864,99563,-2846,-2434,251339,43486,302832,68159,-51493,-24673
"2015/7/30",自營商,461122,54018,420168,52534,40954,1484,272009,23656,417917,32163,-145908,-8506
"2015/7/30",投信,855,850,432,604,423,246,8549,7617,6106,7602,2443,15
"2015/7/30",外資及陸資,155189,88256,142952,78639,12237,9617,264447,48483,303913,63546,-39466,-15063
"2015/7/31",自營商,315147,41986,326171,39393,-11024,2593,280571,23600,437676,29547,-157105,-5947
"2015/7/31",投信,1278,908,473,522,805,386,9183,7702,5926,7287,3257,414
"2015/7/31",外資及陸資,130172,79266,141085,87044,-10913,-7778,259844,45750,310086,68829,-50242,-23079
"2015/8/3",自營商,474746,46458,473853,49500,893,-3042,295009,21538,449894,30223,-154885,-8684
"2015/8/3",投信,887,851,766,1016,121,-165,9289,7469,5938,7224,3351,244
"2015/8/3",外資及陸資,165354,93561,161840,87602,3514,5959,269343,51515,315383,68291,-46040,-16776
"2015/8/4",自營商,559550,52313,553465,59153,6085,-6840,316047,19479,465507,34929,-149460,-15450
"2015/8/4",投信,720,667,819,778,-99,-111,9313,7398,6037,7244,3276,154
"2015/8/4",外資及陸資,182314,100025,172437,95462,9877,4563,277098,51857,313332,64129,-36234,-12272
"2015/8/5",自營商,528238,48227,507091,44532,21147,3695,272041,21626,429009,33509,-156968,-11884
"2015/8/5",投信,905,740,408,423,497,317,9630,7518,5923,7058,3707,460
"2015/8/5",外資及陸資,144438,79614,146798,79998,-2360,-384,273365,49568,315774,62489,-42409,-12921
"2015/8/6",自營商,588699,60657,599979,63185,-11280,-2528,312814,20911,480625,35118,-167811,-14207
"2015/8/6",投信,616,687,641,793,-25,-106,9809,7418,5986,7060,3823,358
"2015/8/6",外資及陸資,166923,94895,175063,102686,-8140,-7791,281893,49666,331224,70385,-49331,-20719
"2015/8/7",自營商,482763,46800,486572,47270,-3809,-470,341781,21771,513581,36481,-171800,-14710
"2015/8/7",投信,671,834,683,852,-12,-18,9945,7730,6170,7378,3775,351
"2015/8/7",外資及陸資,160516,94474,151449,85482,9067,8992,286622,52908,327636,64369,-41014,-11461
"2015/8/10",自營商,423643,51124,429274,46881,-5631,4243,353231,25615,530682,36243,-177451,-10628
"2015/8/10",投信,563,605,468,464,95,141,9987,7924,6147,7400,3840,523
"2015/8/10",外資及陸資,145677,79036,146543,81052,-866,-2016,289215,52355,331536,65810,-42321,-13455
"2015/8/11",自營商,741896,67477,729236,72714,12660,-5237,379432,23992,544192,39563,-164760,-15571
"2015/8/11",投信,1066,1473,695,777,371,696,9961,7834,5672,6623,4289,1211
"2015/8/11",外資及陸資,211977,111253,210677,107053,1300,4200,304207,57354,344933,66490,-40726,-9136
"2015/8/12",自營商,826581,74222,846340,77956,-19759,-3734,328485,23420,491825,42621,-163340,-19202
"2015/8/12",投信,848,1149,858,1152,-10,-3,10016,7772,5698,6597,4318,1175
"2015/8/12",外資及陸資,223861,112934,223959,106966,-98,5968,306702,54352,337245,57525,-30543,-3173
"2015/8/13",自營商,422711,52823,450664,48032,-27953,4791,354089,26161,545549,40626,-191460,-14465
"2015/8/13",投信,1587,2170,1383,2006,204,164,10020,7822,5504,6468,4516,1354
"2015/8/13",外資及陸資,156892,81388,153084,88582,3808,-7194,313532,48020,340649,58833,-27117,-10813
"2015/8/14",自營商,332713,41750,326892,45253,5821,-3503,380430,25910,566189,43941,-185759,-18031
"2015/8/14",投信,1531,2192,1355,2065,176,127,10080,7938,5505,6455,4575,1482
"2015/8/14",外資及陸資,108488,63560,103280,57965,5208,5595,319981,46100,341573,51214,-21592,-5114
"2015/8/17",自營商,350935,52816,373521,52339,-22586,477,373483,25132,581062,42376,-207579,-17244
"2015/8/17",投信,4937,5079,5013,5083,-76,-4,10054,7809,5474,6344,4580,1465
"2015/8/17",外資及陸資,134369,92562,136812,97217,-2443,-4655,324422,48606,347547,58526,-23125,-9920
"2015/8/18",自營商,421553,61926,437397,61450,-15844,476,372466,24676,596142,41104,-223676,-16428
"2015/8/18",投信,5027,4730,5177,4975,-150,-245,10015,7601,5579,6439,4436,1163
"2015/8/18",外資及陸資,166508,107943,159228,103231,7280,4712,340424,56683,356332,62103,-15908,-5420
"2015/8/19",自營商,737304,90933,776132,92937,-38828,-2004,187465,15722,286191,27982,-98726,-12260
"2015/8/19",投信,2745,1810,3037,2393,-292,-583,9306,7371,5512,6706,3794,665
"2015/8/19",外資及陸資,178806,98691,172054,91102,6752,7589,226154,42286,226284,46510,-130,-4224
"2015/8/20",自營商,501940,50663,492933,50936,9007,-273,249311,16895,338769,29255,-89458,-12361
"2015/8/20",投信,759,763,782,801,-23,-38,9377,7420,5627,6807,3750,613
"2015/8/20",外資及陸資,213972,112577,210322,104335,3650,8242,247361,50332,244551,47075,2810,3257
"2015/8/21",自營商,557743,49205,569594,55110,-11851,-5905,293857,17172,395348,34966,-101491,-17795
"2015/8/21",投信,649,657,1151,1203,-502,-546,9371,7199,6171,7160,3200,39
"2015/8/21",外資及陸資,192612,103989,203304,96780,-10692,7209,262394,56141,270509,46760,-8115,9382
"2015/8/24",自營商,954699,147020,930832,151049,23867,-4029,387659,25354,465396,45520,-77737,-20167
"2015/8/24",投信,1774,1787,1864,2119,-90,-332,9821,7209,6810,7561,3011,-351
"2015/8/24",外資及陸資,417248,208562,395934,181906,21314,26656,286330,73618,275375,40144,10955,33473
"2015/8/25",自營商,657465,77170,661375,75335,-3910,1835,407856,25616,489817,45068,-81961,-19452
"2015/8/25",投信,1295,1498,702,732,593,766,9864,7420,6335,7055,3529,365
"2015/8/25",外資及陸資,270342,130440,261913,128708,8429,1732,309172,77773,290756,40753,18416,37020
"2015/8/26",自營商,773677,68620,756720,68554,16957,66,332448,21285,361304,41053,-28856,-19768
"2015/8/26",投信,1115,1008,1217,1141,-102,-133,9498,7139,6120,6918,3378,221
"2015/8/26",外資及陸資,274946,135931,283776,139146,-8830,-3215,300578,76045,286048,41617,14530,34428
"2015/8/27",自營商,335317,51837,330565,49145,4752,2692,361395,24242,385764,41824,-24369,-17581
"2015/8/27",投信,900,599,562,441,338,158,9488,7366,5817,6926,3671,440
"2015/8/27",外資及陸資,171066,96079,182452,98179,-11386,-2100,303162,75855,300746,43446,2416,32409
"2015/8/28",自營商,434091,51599,394243,53347,39848,-1748,415313,25608,399835,45488,15478,-19881
"2015/8/28",投信,546,432,533,458,13,-26,9554,7602,5894,7183,3660,419
"2015/8/28",外資及陸資,205893,102893,206903,96852,-1010,6041,313590,80816,312558,40851,1032,39965
"2015/8/31",自營商,390371,47262,379571,43220,10800,4042,455235,31050,429708,47077,25527,-16027
"2015/8/31",投信,970,1152,976,979,-6,173,9724,8120,6058,7529,3666,591
"2015/8/31",外資及陸資,152668,78827,164526,88154,-11858,-9327,310949,75606,322683,44993,-11734,30613
"2015/9/1",自營商,456208,48125,453291,48627,2917,-502,476268,31302,447645,47393,28623,-16091
"2015/9/1",投信,717,722,1740,1279,-1023,-557,9775,8106,7150,8094,2625,12
"2015/9/1",外資及陸資,207995,108329,220516,109844,-12521,-1515,307598,70807,331714,43187,-24116,27620
"2015/9/2",自營商,658219,60890,643597,60784,14622,106,399217,30023,387323,46527,11894,-16504
"2015/9/2",投信,640,496,1324,1216,-684,-720,9686,8179,7852,8898,1834,-719
"2015/9/2",外資及陸資,215407,123788,205600,115265,9807,8523,304172,73220,316382,36438,-12210,36782
"2015/9/3",自營商,295891,35124,302944,30161,-7053,4963,419598,32669,414974,44446,4624,-11777
"2015/9/3",投信,627,614,676,750,-49,-136,9749,8246,7961,9106,1788,-860
"2015/9/3",外資及陸資,151070,88941,161703,94897,-10633,-5956,307394,72342,330405,41590,-23011,30753
"2015/9/4",自營商,372183,43088,347817,47709,24366,-4621,462558,32133,433335,48319,29223,-16185
"2015/9/4",投信,512,403,968,1068,-456,-665,9702,8002,8346,9525,1356,-1522
"2015/9/4",外資及陸資,179428,112652,184965,107673,-5537,4979,315097,73231,343319,38283,-28222,34947
"2015/9/7",自營商,366861,45122,369600,44394,-2739,728,491287,33914,465108,49539,26179,-15625
"2015/9/7",投信,611,583,890,1127,-279,-544,9637,7889,8581,9953,1056,-2064
"2015/9/7",外資及陸資,184245,102809,180116,100963,4129,1846,319335,73292,344525,36981,-25190,36311
"2015/9/8",自營商,329744,37855,333319,35756,-3575,2099,510103,36403,487654,50208,22449,-13805
"2015/9/8",投信,562,441,482,365,80,76,9602,7893,8475,9864,1127,-1971
