日期,身份別,多方交易口數,多方交易契約金額(百萬元),空方交易口數,空方交易契約金額(百萬元),多空交易口數淨額,多空交易契約金額淨額(百萬元),多方未平倉口數,多方未平倉契約金額(百萬元),空方未平倉口數,空方未平倉契約金額(百萬元),多空未平倉口數淨額,多空未平倉契約金額淨額(百萬元)
"2018/1/2",自營商,373912,47267,325715,41149,48197,6118,419742,37195,398355,51881,21387,-14686
"2018/1/2",投信,166,353,450,964,-284,-611,6249,5818,44392,80642,-38143,-74823
"2018/1/2",外資及陸資,156836,101397,169556,93278,-12720,8119,266758,176479,382753,60639,-115995,115840
"2018/1/3",自營商,539979,59801,537304,56792,2675,3009,370930,37679,353118,49466,17812,-11787
"2018/1/3",投信,2527,442,1127,280,1400,162,6242,5835,42945,81063,-36703,-75228
"2018/1/3",外資及陸資,195189,110029,190804,112762,4385,-2733,273150,177330,384219,63175,-111069,114154
"2018/1/4",自營商,353316,44801,361582,42947,-8266,1854,419430,39796,409898,49783,9532,-9987
"2018/1/4",投信,368,507,855,500,-487,7,6080,5557,43270,81113,-37190,-75556
"2018/1/4",外資及陸資,153746,110670,161510,107731,-7764,2939,274599,176491,393432,58745,-118833,117746
"2018/1/5",自營商,350033,43551,349004,45133,1029,-1582,449822,40054,439541,51636,10281,-11582
"2018/1/5",投信,97,59,175,186,-78,-127,6001,5400,43269,81234,-37268,-75834
"2018/1/5",外資及陸資,152967,102098,159202,101497,-6235,601,276585,174506,401425,55895,-124840,118611
"2018/1/8",自營商,310223,42731,321793,36565,-11570,6166,457837,44326,459087,49695,-1250,-5369
"2018/1/8",投信,183,359,252,502,-69,-143,5939,5255,43276,81416,-37337,-76162
"2018/1/8",外資及陸資,167330,108566,170245,112675,-2915,-4109,284891,177027,412620,62212,-127729,114815
"2018/1/9",自營商,338068,34933,319101,36748,18967,-1815,486698,44126,469067,51300,17631,-7175
"2018/1/9",投信,344,305,52,35,292,270,6235,5535,43280,81397,-37045,-75862
"2018/1/9",外資及陸資,152112,96658,142969,88116,9143,8542,294965,185788,413551,62498,-118586,123289
"2018/1/10",自營商,521194,52298,518851,61621,2343,-9323,406350,38383,376074,54802,30276,-16419
"2018/1/10",投信,1005,1019,1307,349,-302,670,5889,5267,42276,79970,-36387,-74703
"2018/1/10",外資及陸資,235245,133893,242395,132875,-7150,1018,298331,184558,420606,61230,-122275,123328
"2018/1/11",自營商,321501,50883,348442,48328,-26941,2555,433106,38350,429751,52239,3355,-13889
"2018/1/11",投信,3156,5856,4810,5244,-1654,612,5839,5155,43880,79165,-38041,-74010
"2018/1/11",外資及陸資,220095,148401,228108,150583,-8013,-2182,306621,186554,436909,65554,-130288,121000
"2018/1/12",自營商,374451,58348,355683,60466,18768,-2118,467577,42637,444142,58825,23435,-16188
"2018/1/12",投信,7960,14636,6802,12168,1158,2468,6321,5464,43204,77545,-36883,-72081
"2018/1/12",外資及陸資,178600,146179,174934,140202,3666,5977,311483,195953,438079,67843,-126596,128110
"2018/1/15",自營商,359053,64288,373249,53145,-14196,11143,477907,49021,468715,54088,9192,-5067
"2018/1/15",投信,20414,40649,19587,38833,827,1816,5794,5205,41850,76018,-36056,-70813
"2018/1/15",外資及陸資,220422,195206,232073,204760,-11651,-9554,304927,187898,443030,68225,-138103,119672
"2018/1/16",自營商,342000,60996,316278,62299,25722,-1303,491578,50223,455452,56625,36126,-6403
"2018/1/16",投信,14642,23899,14754,23952,-112,-53,5570,5121,41738,76154,-36168,-71033
"2018/1/16",外資及陸資,195539,186928,197122,192530,-1583,-5602,312325,197341,451978,82956,-139653,114385
"2018/1/17",自營商,584602,77145,546092,86606,38510,-9461,236404,26609,263619,42566,-27215,-15957
"2018/1/17",投信,2093,2705,2237,1601,-144,1104,6014,5290,39811,75236,-33797,-69946
"2018/1/17",外資及陸資,235737,144071,230073,130963,5664,13108,228613,177932,241465,56742,-12852,121190
